,sum_sq,df,F,PR(>F)
C(Fighting_Group),215.78223017364405,2.0,17.96311216599943,1.619446151775071e-08
C(Sex),766.3613699989219,1.0,127.59378043225963,1.8828486604792562e-29
C(Fighting_Group):C(Sex),85.52388449285085,2.0,7.119562759087204,0.0008122459173526057
Residual,78910.23876662424,13138.0,,
