WhatIsYourSex,PhysicalFighting,TelevisionWatching,ComputerUse,TV_Hours,Game_Hours,Total_Screen_Time,Fighting_Group,Sex
2.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Male
1.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Female
1.0,2.0,3.0,1.0,1.0,0.0,1.0,2_Occasional,Female
2.0,2.0,1.0,2.0,0.0,0.5,0.5,2_Occasional,Male
2.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Male
1.0,1.0,2.0,1.0,0.5,0.0,0.5,1_None,Female
1.0,1.0,2.0,1.0,0.5,0.0,0.5,1_None,Female
2.0,1.0,5.0,4.0,3.0,2.0,5.0,1_None,Male
2.0,1.0,2.0,1.0,0.5,0.0,0.5,1_None,Male
2.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Male
2.0,2.0,2.0,2.0,0.5,0.5,1.0,2_Occasional,Male
1.0,2.0,2.0,2.0,0.5,0.5,1.0,2_Occasional,Female
1.0,2.0,2.0,2.0,0.5,0.5,1.0,2_Occasional,Female
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1_None,Female
1.0,2.0,1.0,1.0,0.0,0.0,0.0,2_Occasional,Female
1.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Female
2.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Male
1.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Female
1.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Female
2.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Male
2.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Male
2.0,1.0,3.0,3.0,1.0,1.0,2.0,1_None,Male
2.0,2.0,1.0,1.0,0.0,0.0,0.0,2_Occasional,Male
1.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Female
2.0,2.0,3.0,1.0,1.0,0.0,1.0,2_Occasional,Male
1.0,2.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Female
